"filename", "language", "JSON", "AL", "alapp", "HTTP", "XML", "Batch", "comment", "blank", "total"
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ReqWorksheetExtSC.PageExt.al", "AL", 0, 50, 0, 0, 0, 0, 9, 14, 73
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\RoutingList.PageExt.al", "AL", 0, 14, 0, 0, 0, 0, 3, 5, 22
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\RoutingToolsExtSC.PageExt.al", "AL", 0, 7, 0, 0, 0, 0, 9, 2, 18
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\SCANPANRoutingLines.PageExt.al", "AL", 0, 8, 0, 0, 0, 0, 3, 8, 19
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\SalesCrMemoSubformExt.PageExt.al", "AL", 0, 11, 0, 0, 0, 0, 8, 7, 26
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\SalesInvoiceSubformExtSC.PageExt.al", "AL", 0, 70, 0, 0, 0, 0, 9, 9, 88
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\SalesLines.PageExt.al", "AL", 0, 14, 0, 0, 0, 0, 3, 4, 21
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\SalesOrder.PageExt.al", "AL", 0, 105, 0, 0, 0, 0, 21, 16, 142
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\SalesOrderList.PageExt.al", "AL", 0, 62, 0, 0, 0, 0, 15, 23, 100
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\SalesOrderSubform.PageExt.al", "AL", 0, 126, 0, 0, 0, 0, 99, 28, 253
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\SalesOrders.PageExt.al", "AL", 0, 14, 0, 0, 0, 0, 5, 3, 22
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\SalesPriceListsExtSC.PageExt.al", "AL", 0, 54, 0, 0, 0, 0, 24, 10, 88
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\SalesReturnOrder.PageExt.al", "AL", 0, 17, 0, 0, 0, 0, 7, 0, 24
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ShopCalendarHolidays.PageExt.al", "AL", 0, 15, 0, 0, 0, 0, 3, 7, 25
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\StockkeepingUnitListExtSC.PageExt.al", "AL", 0, 35, 0, 0, 0, 0, 3, 5, 43
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\TariffNumbers.PageExt.al", "AL", 0, 13, 0, 0, 0, 0, 6, 4, 23
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\TransferOrderSubformExtSC.PageExt.al", "AL", 0, 16, 0, 0, 0, 0, 3, 7, 26
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\TransferOrders.PageExt.al", "AL", 0, 14, 0, 0, 0, 0, 3, 5, 22
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\TransportOrderLineSub.PageExt.al", "AL", 0, 0, 0, 0, 0, 0, 28, 5, 33
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\UserSetup.PageExt.al", "AL", 0, 13, 0, 0, 0, 0, 8, 6, 27
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ValueEntries.PageExt.al", "AL", 0, 14, 0, 0, 0, 0, 3, 5, 22
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\VendorCardExtSC.PageExt.al", "AL", 0, 9, 0, 0, 0, 0, 9, 6, 24
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\VendorList.PageExt.al", "AL", 0, 24, 0, 0, 0, 0, 4, 5, 33
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\WarehouseEmployee.PageExt.al", "AL", 0, 13, 0, 0, 0, 0, 0, 8, 21
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\WarehousePicks.PageExt.al", "AL", 0, 48, 0, 0, 0, 0, 9, 7, 64
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\WarehouseShipmentExtSC.PageExt.al", "AL", 0, 15, 0, 0, 0, 0, 18, 5, 38
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\WarehouseShipmentListExtSC.PageExt.al", "AL", 0, 37, 0, 0, 0, 0, 10, 8, 55
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\WhseShipmentLineExtSC.PageExt.al", "AL", 0, 7, 0, 0, 0, 0, 7, 4, 18
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\WhseShipmentSubformExtSC.PageExt.al", "AL", 0, 19, 0, 0, 0, 0, 9, 2, 30
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page part\ChartCustomerTopX.Page.al", "AL", 0, 47, 0, 0, 0, 0, 9, 13, 69
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page part\IICBufferStatusPart.Page.al", "AL", 0, 119, 0, 0, 0, 0, 6, 19, 144
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page part\ScanpanCardPart.Page.al", "AL", 0, 247, 0, 0, 0, 0, 23, 45, 315
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page part\TEST BalanceByCustomer\BalanceByCustomerChart.page.al", "AL", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page part\TEST BalanceByCustomer\BalanceByCustomerChartMgt.Codeunit.al", "AL", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page part\TEST BalanceByCustomer\BalanceByCustomerChartSetup.table.al", "AL", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page part\TEST BalanceByCustomer\BalanceByCustomerSetup.page.al", "AL", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page role\AccountingManagerRoleCenter.PageExt.al", "AL", 0, 13, 0, 0, 0, 0, 3, 4, 20
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page role\AdminRoleCenterExtSC.PageExt.al", "AL", 0, 2, 0, 0, 0, 0, 10, -6, 6
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page role\OrderProcessorRoleCenter.PageExt.al", "AL", 0, 166, 0, 0, 0, 0, 12, 8, 186
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page role\OrderProcessorRoleCenterExtSC.PageExt.al", "AL", 0, -148, 0, 0, 0, 0, -12, -10, -170
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page role\ProdPlannerRoleCenterExtSC.PageExt.al", "AL", 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page role\WhseWorkerWMSRoleCenterExtSC.PageExt.al", "AL", 0, 2, 0, 0, 0, 0, 11, 3, 16
